Salary Range,Link,Job Title,Job Teaser,Advertiser,Classification,Location,Strong Words,Job Description,Category
70000-120000,https://www.seek.com.au/job/39709955,Senior Data Analyst - FTC,"The role will provide information analysis, data modelling and data management services across human resources projects ",RMIT University,Education & Training,Melbourne,Senior Data Analyst Based at the City campus but may be required to work and/or be based at other campuses Fixed Term About us Culture Imagination. Agility. Courage. Passion. Impact. Inclusion. About the role and college / portfolio: About you: Does this sound like the right role for you? If so please reach out to your RMIT Talent Partner Erica Campbell at:erica.campbell@rmit.edu.au PD - Senior Data Analyst.docx Qualifications: Bring your whole self to work: 10th in the 2019 Randstad Employer Brand Research Awards Employer of Choice for Gender Equality Gold Employer status for LGBTIQ top five employer in 2018 for workplace accessibility Reconciliation Action Plan for Bundyi Girri To apply please submit your resume and cover letter outlining your interest for this role. You are not required to respond to key selection criteria. Applications close on August 26th 2019,"Senior Data Analyst Based at the City campus, but may be required to work and/or be based at other campuses Fixed Term About us RMIT is a multi-sector university of technology, design and enterprise with more than 91,000 students and 11,000 staff globally. RMIT offers postgraduate, undergraduate, vocational education and online programs to provide students with a variety of work-relevant pathways. Our purpose is to offer life-changing experiences for our students, and to help shape the world with research, innovation, teaching and industry engagement. With strong industry connections forged over 130 years, collaboration with industry remains integral to RMITs leadership in education, applied and innovative research, and to the development of highly skilled, globally-focused graduates. Culture Our Values inspire us, wherever we are in the world, and guide how we live and work together. We are fundamentally transforming the world of research at RMIT, from providing industry leading opportunities for researchers to introducing world-first technology. Were proud to be reshaping our processes and capabilities - and in doing so, were becoming a trusted partner in creating the future of research. Imagination. Agility. Courage. Passion. Impact. Inclusion. What unites us is our purpose and our values; they are at the heart of who we are, what we stand for, how we make decisions and connect with each other. Our people make everything at the University possible. We encourage new approaches to work and learning, stimulating change to drive positive impact. RMIT exists to create transformative experiences for our students, getting them ready for life and work. You will be a part of a productive and collaborative team, who values working relationships and outcomes through open and inclusive planning, continuous information sharing and transparent work practices. When you join our team, you'll be able to access a range of benefits. From travel to fitness, there's something for everyone. About the role and college / portfolio: The Senior Data Analyst is responsible for providing HR related analysis, data modelling and data management services to the People team, with a focus on performance projects. The incumbent will be required to work on all aspects of information analysis and design, including data normalisation, data modelling, data integration and data quality. The incumbent will also be required to draw insights and provide commentary as to potential drivers behind the data trends. The role will provide information analysis, data modelling and data management services across human resources projects and will drive the development and maintenance of Power BI dashboards and other data visualisation tools. The Operations Portfolio enables integrated, enterprise wide delivery for best practice student and staff experiences. The Portfolio incorporates the following business units: Business Performance Improvement (BPI), Communications, Enterprise Project Management Office (EPMO), Global Marketing & Student Recruitment, Human Resources, Information and Technology Services (ITS), Office of the Chief Operating Officer, Procurement and Property Services Group (PSG). The Portfolio houses significant drivers and delivery components across the staff and student journeys and enables the overall experience for both groups. The Portfolio is integral in bringing the RMIT strategy to life, across the globe. Each of these functions supports the global operations of the University both directly as well as through its controlled entities. About you: You will Drive continuous improvement within human resources through the application of data modelling, data analysis and data management to draw insights for playback. As well as Serve as an expert resource on matters of data analysis, data modelling and data management services for human resources projects while liaising with other departments (e.g., ITS, Finance, etc). You will thrive in an environment that is contemporary and flexible in its thinking and actions. We want leaders who will empower to make a difference, foster great ideas, drive innovative research and instil a strong culture of service excellence and quality output. Does this sound like the right role for you? If so, please reach out to your RMIT Talent Partner Erica Campbell at: erica.campbell@rmit.edu.au PD - Senior Data Analyst.docx Qualifications: Previous experience working on large scale, complex projects, with the ability to work under pressure, autonomously and in ambiguous environments. Proven record for taking the initiative and skilled problem-solving capabilities. Demonstrated organisational skills including contribution to the development of processes in a planning and analysis area. Well-developed written and oral communication skills including an ability to communicate with staff at all levels of the group and University. Bring your whole self to work: We are better for our diversity. When we listen to those who are different to us, or challenge us, we grow stronger together. When we feel like we belong, we can achieve so much more. We respect each other, embrace our differences and build a sense of belonging in our team and beyond. Were proud to share with you some of our wins: RMIT University is an Athena SWAN member and the College of Science, Engineering and Health is central to driving improvements in gender equality, diversity and inclusion, particularly in the Science, Technology, Engineering, Mathematics and Medicine (STEMM) disciplines. RMIT was placed 10th in the 2019 Randstad Employer Brand Research Awards , up five spots from 2018. We were named as an Employer of Choice for Gender Equality by the Workplace Gender Equality Agency in 2019. We achieved Gold Employer status for LGBTIQ inclusion in the Australian Workplace Equality Index (AWEI) in 2018 and now in 2019. We were recognised as a top five employer in 2018 for workplace accessibility with the Australian Network on Disability. Exceeding our targets in our Reconciliation Action Plan for Bundyi Girri - an important step in our reconciliation journey. To apply, please submit your resume and cover letter outlining your interest for this role. You are not required to respond to key selection criteria. Applications close on August 26th, 2019 RMIT is an equal opportunity employer committed to being a child safe organisation. We are dedicated to attracting, retaining and developing our people regardless of gender identity, ethnicity, sexual orientation, disability and age. Applications are encouraged from all sectors of the community and we strongly encourage applications from the Aboriginal and/or Torres Strait Islander community.",Data Analyst
70000-120000,https://www.seek.com.au/job/39678403,Senior Advisor Safety Data Analyst,Be involved in providing input into a data driven approach to evaluating and assessing risk in the Australian maritime industry,Australian Maritime Safety Authority,Government & Defence,ACT,$127129 – $147377* + superannuation (15.4%) Location Negotiable – Sydney or Canberra Non-ongoing (2 Years) ABOUT AMSA PROFESSIONAL COLLABORATIVE DEDICATED ACCOUNTABLE ABOUT THE ROLE ABOUT THE PERSON WHAT WE OFFER HOW TO APPLY by 11:30pm (AEST) Sunday 25 August 2019.,"$127,129 – $147,377* + superannuation (15.4%) Location Negotiable – Sydney or Canberra Non-ongoing (2 Years) ABOUT AMSA The Australian Maritime Safety Authority (AMSA) is Australia’s national agency responsible for maritime safety, protection of the marine environment, and maritime aviation search and rescue.   We are a statutory authority established under the Australian Maritime Safety Authority Act 1990 (AMSA Act). At AMSA we ensure safe vessel operations, combat marine pollution and rescue people in distress. We work closely with other Australian and international government agencies and related industries, providing valuable advice and expertise to ensure we, and others deliver on our mission. It is an exciting time at AMSA, as we have recently assumed the full service delivery for the National System for Domestic Commercial Vessels. As we chart new territory, it creates opportunities to engage further and have an even bigger impact on the Australian Maritime industry. AMSA employs around 400 people across Australia.   We offer unique and challenging career opportunities for our employees, who come from a range of diverse backgrounds.   Our employees represent our values, and operate in a PROFESSIONAL and COLLABORATIVE way; are DEDICATED to our mission and are ACCOUNTABLE for decisions and actions. Working at AMSA will give you an opportunity to make a real difference and actively contribute towards AMSA’s vision for Safe and clean seas, saving lives. To learn more about our organisation, our AMSA Values and our people, please visit our website. ABOUT THE ROLE As the Senior Advisor, Safety Data Analyst, you will be responsible for safety data management, extraction, interpretation, evaluation, and analysis of maritime safety performance trends and reporting with a particular emphasis on marine incident, inspection and compliance data. Specifically, in this role you will be involved in providing input into a data driven approach to evaluating and assessing risk in the Australian maritime industry. The role will see you prepare reports to support the monitoring and analysis of trends in safety issues, incidents and accidents and coordinate and assist in the design and implementation of maritime safety education programs. Reporting into the Manager Vessel Operations, you will be part of a strong customer focused and results driven team of professionals. ABOUT THE PERSON To be successful in this position, you will have relevant tertiary qualifications in statistical analysis and/or quantitative methods for safety and risk evaluation, or comparable qualifications. You will have a high level of competency and developed technical skills in safety data analysis and data interpretation. Your experience in compiling concise, logical, and technically correct written outputs, with the ability to adjust writing styles appropriate for the intended audience will be key to your success. You will be experienced in leading projects and teams to meet outcomes in a professional and timely manner. Having experience in a human factors, systems safety or related area would be highly regarded For a full list of prerequisites and required capabilities for this role, please refer to the position description. At AMSA, we acknowledge the value diversity can bring to assist us in delivering against our mission to contribute towards ‘Safe and clean seas, saving lives’. We encourage applications from Aboriginal and Torres Strait Islander People, people with a disability and people from other diverse backgrounds. For further information, please refer to AMSA Diversity Plan 2019-22. WHAT WE OFFER Exciting and challenging work which directly contributes to AMSA’s mission, strategy and the impact we make to the community A collaborative work environment where you can contribute to AMSA’s strong reputation as maritime regulator, through working with dedicated colleagues who provide regulatory oversight to one of the safest maritime regions in the world The opportunity to work with supportive, passionate and collaborative colleagues and leaders who encourage and support each other to achieve positive outcomes and success An inclusive workplace with attractive remuneration package, including generous employer superannuation contributions Employee rewards, recognition and benefits that support workplace achievement and work life balance Note: Information about our terms and conditions of employment are contained in the AMSA Enterprise Agreement 2016-2019. HOW TO APPLY All applications should be completed on our website via the Careers at AMSA page by 11:30pm (AEST) Sunday 25 August 2019. As part of your application you will need to provide; your resume a cover letter (maximum 800 words) outlining how your skills and experience meet the prerequisites and required capabilities of the role – please see link to the position description for full details If you would like more information about this role, please contact Manager Vessel Operations on 02 6279 5045 . *Note: Under the AMSA Enterprise Agreement 2016-2019, an appointee’s commencement salary will normally be based on the minimum salary point for each classification level.",Data Analyst
70000-120000,https://www.seek.com.au/job/39660717,Senior Data Analyst,Analysing data and reporting on markets and any emerging issues to understand where efforts should be directed.,Pinpoint Talent,Information & Communication Technology,South West Coast VIC,Senior Data Analyst Duties: Your required talents: This opportunity will be based in Geelong VIC Hourly rate of $51.50 + super Full-time hours - 38 hours per week.  Contract until SEPT 2020 + potential option to extend.,"As the Senior Data Analyst, you would be working within a national organisation who's  transformational approach to disability supports and services a radically new disability services marketplace. This position operates within the Market Enablement Branch to assist the group by focussing on markets to support decision making. This includes analysing data and reporting on markets and any emerging issues so that the organisation can understand where it should direct it’s efforts. Duties: Support the division responding to data requests and provide supporting analysis. Work with various program areas using data and analysis to inform business decision making. Support in analysis and development of reports in response to market issues. Perform analysis and develop analytical tools that monitor markets, including suitable metrics. Support the development of consistent messages and communications. Your required talents: Tertiary qualifications in an analytics related field such as mathematics, statistics, economics or computer science. Advanced IT System competencies Experience in Excel and SAS programming Ability to operate within a team, including the capacity to adapt quickly to a changing environment. Positive contemporary attitudes to people with disability Understanding and knowledge of the impact of disability on daily life and how reasonable and necessary supports can impact on a person’s ability to participate in community and economic life. Work closely with peers nationally and across the division to develop and implement reports and analysis. Be part of the team by supporting and engaging regularly with each other. Ability to develop and maintain networks within the Agency and with external parties Provide advice and problem solving for internal stakeholders in relation to data and analytical requests. Analytical skills to draw on research, evidence and performance reports to influence improved processes Ability to respond to and prioritise competing and often urgent requests in a calm and efficient manner while also maintaining high work standards and accuracy. This opportunity will be based in Geelong, VIC Hourly rate of $51.50 + super Full-time hours - 38 hours per week. Contract until SEPT 2020 + potential option to extend.",Data Analyst
70000-120000,https://www.seek.com.au/job/39609045,Data Analyst,Build and provide reporting and analytical capacity and capability within the People & Culture function to support decision making and insight.,Pinpoint Talent,Information & Communication Technology,South West Coast VIC,Data Analyst Duties: Your required Talents: This opportunity will be based in Geelong VIC Hourly rate of $51.50 + super Full-time hours - 38 hours per week.  Contract until AUG 2020 + potential option to extend.,"As a Data Analyst , you will build and provide reporting and analytical capacity and capability within the People and Culture function in order to support decision making and insight. The role will ensure that People & Culture metrics are connected to strategy delivery. Duties: Collaborating with the People and Culture Division to provide the data and analysis required to deliver solutions. Apply data analysis to identify root causes underlying emerging trends and incorporate insights into a range of BAU and ad hoc evidence-based reports, action plans, papers, presentations and other material on behalf of the HR function. Provide commentary to support decision making and insight. Identify trends and to work proactively with stakeholders to explain the data. Delivering integrated workforce reporting to the Agency utilising all external and internal data sources in collaboration with the Strategic Workforce Planning team. Managing and co-ordinate Agency workforce reporting such as monthly reporting, board reporting and annual reporting. Building reporting tools to enable more efficient use of data and accessibility to FTE reporting and analysis. Developing reporting that is closely aligned with the achievement of Agency goals. Undertaking quality assurance activities to ensure data accuracy and integrity within HR systems. Assuming a continuous improvement approach to HR reporting and metrics to ensure reports are constantly evolving to meet business needs. Supporting the development and implementation of the business intelligence reporting platform. Undertake relevant projects as required. Your required Talents: Competency with IT systems, especially SAP and Excel Advanced data analysis and data modelling skill, including MS Power Query, Power Pivot, M-Language, and DAX. Proficient use in other Microsoft applications such as Word, PowerPoint, SharePoint, and Outlook. This opportunity will be based in Geelong, VIC Hourly rate of $51.50 + super Full-time hours - 38 hours per week. Contract until AUG 2020 + potential option to extend.",Data Analyst
70000-120000,https://www.seek.com.au/job/39573695,Data Analyst,You will be working for one of the fastest growing IT consulting firm in Australia. The company has a team of more than 100 consultants...,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Information & Communication Technology,Sydney,Duties: Requirements: Only shortlisted applicants will be contacted for this role.,"You will be working for one of the fastest growing IT consulting firm  in Australia. The company has a team of more than 100 consultants spread across various clients. You will be working for one of our clients on a full-time basis. In this position, you'll analyse data and identify issues, trends, patterns and solutions to resolve them. You'll also support ad-hoc analysis across data in multiple business areas, including functional requirements across projects and system enhancement requests. You'll assist and drive resolution thereby increasing throughput and achieving overall team delivery goals. Duties: Analyse, Profile and systematically present the data for Business and management team understanding. Interpreting the functional aspect of data & reporting aspect of data. Present the data to business and the consumers of the data which qualifies the scope and highlight gaps/issues on data from Source. Identifying patterns and trends in data sets Working alongside teams within the Business, Solution team or the Technical team to establish business needs. Develop a partnership with business & stakeholders to understand data, needs and provide valuable insights to resolve issues. Requirements: 5+ years of experience in a smiliar position. Strong experience in SQL, Hadoop, Spark, Hive, Scala. Strong Problem Solving Skills - Ability to analyze and critically evaluate gathered information to resolve conflicts, anticipate issues  and make priority decisions. Experience in conducting workshop with Solution/Technical/Business team to gather the data requirements. You will have ideally worked within a client facing capacity, with the interpersonal and communication skills to manage and influence key relationships with stakeholders. If you are interested, click the link and upload your current resume in Microsoft Word format only. If you would like to have a confidential chat, please contact Alex Nguyen on +61 2 9223 9855 . Only shortlisted applicants will be contacted for this role.",Data Analyst
70000-120000,https://www.seek.com.au/job/39585103,Data Analyst - Health Safety Environment - Graduate,Help us prevent incidents and injuries before they happen. Opportunity for innovative and committed Grad skilled in analytics and machine learning,Boral Ltd,Information & Communication Technology,Sydney,,"Boral is an international building products and construction materials group with three strong divisions: the high-performing, well-positioned materials business of Boral Australia; the fast-growing, 50%-owned USG Boral interior linings joint venture in Asia, Australia and the Middle East; and Boral North America, a scaled and growing building products and fly ash business. With its headquarters in Sydney, Australia, Boral has approximately 17,000 full-time equivalent employees (including in JVs) working across over 700 operating sites in 17 countries. With safety at the forefront of all that we do at Boral, our Health, Safety & Environment team is working to develop and channel predictive analytics to help us prevent incidents and injuries before they happen. To support this, we have created an opportunity ideally suited to an innovative and committed Graduate skilled in analytics and machine learning to undertake HSE analytics including benchmarking and management of HSE data. As our Data Analyst Graduate, you will focus on diverse challenges and problems to solve across HSE while creating and effectively communicating findings to management as to how your insights create business impact. To keep you challenged, you will be involved in: Analysis of data sets to develop custom models and algorithms to drive safety solutions Statistical analysis to determine trends, significant data relationships, validate assumptions, hypotheses and testing using statistical models Applying your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers Assist with establishing a Data analytics program aimed at developing a predictive analytics model Develop analytics reports which deep dive on HSE emergent risks Automation of Predictive analytics through the use of machine learning Establish digital tools to enhance information sharing across the business in order to deliver real time information based on predictive analytics Bring your deep curiosity about how things work and love of problem solving along with your: Tertiary level qualification in data science or equivalent Knowledge of machine learning and artificial intelligence design Working knowledge of Google suite of tools for analytics (Google Cloud, Google Data Studio, Big Query, etc) If this sounds like your kind of challenge, join us and build your career. APPLY at http://careers.boral.com.au Boral values and is committed to creating a diverse working environment and is proud to be an equal opportunity employer. All suitable applicants will receive consideration for employment without regard to race, colour, religion, gender identity or expression, sexual orientation, disability or age.",Data Analyst
70000-120000,https://www.seek.com.au/job/39647188,Senior Data Analyst | Group Finance,Opportunity for a Senior Data Analyst in Group Finance where you will bring your data analysis and reporting skills to this diverse and unique role.,National Australia Bank,Banking & Financial Services,Melbourne,"""Were NAB""   About the Role  Key Responsibilities Skills and experience  Culture  Benefits  How to apply","Opportunity for Senior Data Analyst | Group Finance Pathway for career progression Melbourne location We're NAB Today, we have more than 33,000 people serving 10 million customers at more than 800 locations in Australia, New Zealand and around the world. We know that to be Australia and New Zealand’s most respected bank, we need to be more than good with money. We need to be just as good with people, too. We strive to embrace diversity of thought, style and working arrangements to ensure our workforce is representative of the community that we serve. We believe in people with ideas and dreams, and we want you to achieve your aspirations. At NAB we work together to deliver exceptional outcomes that push the limits of expectations. Our passion about creating value and exceeding our customers' expectations means we're constantly striving to redefine our standards of excellence. About the Role The role of Senior Data Analyst Finance will support the preparation of Regulatory reports to meet APRA reporting requirements within the required time frame. This will be achieved by facilitating key data validation and profiling activities to ensure all data used for Regulatory reporting submissions is fit for purpose, of a high quality and meets guidelines. Key Responsibilities Your key responsibilities in this pivotal and exciting role will include: Performing and evidencing completeness and accuracy checks over data used for regulatory reporting purposes, including validation checks, profiling checks and high-level analytics; Liaising with Business Partners to ensure appropriate commentary and sign off on Work Packages, business rules and interpretations are obtained; Identifying, documenting and escalating data issues or gaps to Report Reviewers, Group Regulatory Reporting Governance and the Business Data Stewards, as appropriate; Undertake data analysis, and validation of regulatory data, returns and custom reports; Managing risks, issues, incidents relating to regulatory reporting data, and working with appropriate stakeholders to ensure data issues and gaps are remediated, both tactically and strategically; Coordinating bi-annual review and sign-off of the interpretations and business rules with Return Reviewers, and Business Partners; Supporting Return Preparers and Reviewers by investigating and remediating data issues and/or APRA queries where required; Validating and testing changes that impact Regulatory reporting data; Prepare for, and undertake impact assessments for upcoming changes in the Regulatory Change pipeline. Maintaining documentation of interpretations and business rules; Certifying compliance with external reporting responsibilities Liaise with the Axiom asset team to rectify issues or request changes; Working with Enterprise Data to build new reports/returns when required, including data sourcing; Working with Enterprise Data to change reports/returns when required; Working with Return Preparers and Return Reviewers to interpret and analyse data trends; Continuously improve process performance to gain process efficiencies, improve data quality and reduce waste Skills and experience To be considered for this role, you must have demonstrated experience working in a similar role coupled with strong self-starting ability, analytical thinking and logic; combined with strong stakeholder management, presentation and communication skills. In addition, to succeed in this role, you must have the following: Proven experience in Finance and Accounting, preferably with Banking and Financial Services sector; Sound knowledge of financial reporting concepts and financial information systems, data and products; Problem solving and analytical skills; and ability to question existing practices and devise alternatives; Ability to define, interrogate and retrieve data for both internal applications and external communication; Ability to review complex data structures and rules to analyse information from multiple sources; Structured Query Language (SQL) skills; Capabilities in driving continuous improvement initiatives and a willingness to take ownership to resolve complex issues; Relevant tertiary qualifications in a Business, Finance, Accounting and/or IT discipline and a professional post graduate qualification (CA, CPA) or equivalent would be essential. Culture We believe in people with ideas and dreams, and we want you to achieve your aspirations. At NAB we work together to deliver exceptional outcomes that push the limits of expectations. Our passion about creating value and exceeding our customers' expectations means we're constantly striving to redefine our standards of excellence. Benefits At NAB, we provide access to many exclusive employee benefits that will support you both personally and professionally. These include volunteer leave, education and learning benefits and banking & financial services discounts for example. Visit our benefits page for more information http://www.nab.com.au/about-us/careers/working-at-nab/benefits How to apply If you are ready to take the next step in your career, we are keen to hear from you! Please note, candidate screening and interviews may take place prior to the advertised close date. To be eligible to apply, you must have Australian or New Zealand citizenship or permanent residency status. Please apply via the link.",Data Analyst
70000-120000,https://www.seek.com.au/job/39585104,Data Analyst - Health Safety Environment - Graduate,Help us prevent incidents and injuries before they happen. Opportunity for innovative and committed Grad skilled in analytics and machine learning,Boral Ltd,Human Resources & Recruitment,Sydney,,"Boral is an international building products and construction materials group with three strong divisions: the high-performing, well-positioned materials business of Boral Australia; the fast-growing, 50%-owned USG Boral interior linings joint venture in Asia, Australia and the Middle East; and Boral North America, a scaled and growing building products and fly ash business. With its headquarters in Sydney, Australia, Boral has approximately 17,000 full-time equivalent employees (including in JVs) working across over 700 operating sites in 17 countries. With safety at the forefront of all that we do at Boral, our Health, Safety & Environment team is working to develop and channel predictive analytics to help us prevent incidents and injuries before they happen. To support this, we have created an opportunity ideally suited to an innovative and committed Graduate skilled in analytics and machine learning to undertake HSE analytics including benchmarking and management of HSE data. As our Data Analyst Graduate, you will focus on diverse challenges and problems to solve across HSE while creating and effectively communicating findings to management as to how your insights create business impact. To keep you challenged, you will be involved in: Analysis of data sets to develop custom models and algorithms to drive safety solutions Statistical analysis to determine trends, significant data relationships, validate assumptions, hypotheses and testing using statistical models Applying your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers Assist with establishing a Data analytics program aimed at developing a predictive analytics model Develop analytics reports which deep dive on HSE emergent risks Automation of Predictive analytics through the use of machine learning Establish digital tools to enhance information sharing across the business in order to deliver real time information based on predictive analytics Bring your deep curiosity about how things work and love of problem solving along with your: Tertiary level qualification in data science or equivalent Knowledge of machine learning and artificial intelligence design Working knowledge of Google suite of tools for analytics (Google Cloud, Google Data Studio, Big Query, etc) If this sounds like your kind of challenge, join us and build your career. APPLY at http://careers.boral.com.au Boral values and is committed to creating a diverse working environment and is proud to be an equal opportunity employer. All suitable applicants will receive consideration for employment without regard to race, colour, religion, gender identity or expression, sexual orientation, disability or age.",Data Analyst
70000-120000,https://www.seek.com.au/job/39593298,Health &amp;amp; Safety Data Analyst,Define and manage the delivery of Health & Safety reporting for a leading Australian retailer,Kmart,Accounting,Melbourne,,"At Kmart, we are where families come first for the lowest prices on everyday items and our vision is to make everyday living brighter for all our customers, every time and everywhere they shop with us. As Australia’s brightest retail star, we have experienced great success in recent times but for Kmart this is just the beginning of our exciting journey ahead! We have big plans in place to ensure we deliver our vision and significantly expand our business. With more new stores opening across Australia and New Zealand, the growth of our online business and expansion into new markets, we are on a mission to improve the Kmart shopping experience for all our customers, who are at the heart of everything we do. There has never been a more irresistible time to join Kmart! We currently have an opportunity available in our Safety team to define and manage the delivery of Health and Safety reporting across several key metrics. Reporting in to the National Manager, Health & Safety Governance, you will be responsible for the following; Define and manage the delivery of Health & Safety reporting, incident, injury, hazard, near miss, analysis and metrics. Manage the reporting/analysis function and identification of key reporting requirements for the business Define appropriate requirements and deliver health and safety reporting systems to support the business in the delivery of safety performance Assist in the development of safety strategy based on evidence-based reporting Identify systems and process improvement to assist the business in safety management To be successful in securing this role, you will  ideally possess the following skills and experience; Tertiary qualification in Business or Data Science combined with Diploma in Business Administration, or Finance Advanced training in Microsoft Excel and data base management Previous experience in a strategic data systems and analysis for a large organisation, ideally in health and safety Significant experience working with information systems Advanced computer knowledge Online reporting systems – report generation, Devices – iOS familiarity) High self-awareness including planning and time management Analytical mind with the ability to problem solve, identify trends and proactively address opportunities and potential issues Strong numeracy and analytical skills An ability to excel in an environment of high activity, competing priorities and time pressures You will benefit from joining an amazing business and a dynamic team who are all committed to the success of Kmart and providing our customers with a great shopping experience. Our values – Think Customer, Take Care, Live Integrity, Grow Together and Reach Higher will resonate with you deeply and you’ll enjoy being part of a growing, iconic Australian business that has a fantastic culture, is non-hierarchical, diverse and inclusive. Your work environment will be highly collaborative, fast-paced and progressive, with no two days the same! You will be afforded autonomy and accountability in your role and have access to development opportunities across both Kmart and the Wesfarmers Group, excellent remuneration, laptop and inclusion in the employee benefits program (for eligible employees) including a discount card for Kmart, Coles, Target and Officeworks. At Kmart we aim to ensure our teams reflect the diversity of the communities in which we operate. Candidates interested in this position should apply directly to this advertisement as we are not accepting applications from recruitment agencies. #LI-POST1",Data Analyst
70000-120000,https://www.seek.com.au/job/39600129,Master Data Analyst,Master Data Analyst required to support all aspects of MDM capability. Permanent Role. 5 minute walk from the station.,Technology People,Information & Communication Technology,Sydney,"What will you do? What do you need? ""Whats in it for you?"" ","We require a Master Data Analyst to support all aspects of Master Data Management Capability. Exciting end-user client in North Ryde with a large project undertaking. This role is a mixture of technical and business engagement skills which are required to secure this role. What will you do? -Support all aspects of the MDM Capability Build Project, including collating master data from different sources -Identify sources for data collection & transformation -Build a data dictionary and master data standards for data objects -Perform data classification, error detection & correction -Gathers creates and cleanses nominated data sets -Engages with Data SME’s on all activities Master Data Related -Supports the activities of data partners, reviews and analyses detailed validation reports -Work on MDM workflow tools, design and implementation -Business Engagement What do you need? -Experience working as a master data analyst -Experience in master data management -Experience in identifying and validating master data sources -Ability to perform data cleansing, gathering, creation cleansing routines and assisting data owners for data validation -Ability to write SQL and PL/SQL for data extraction and validation -Advanced Excel; MS Access -Business Engagement and stakeholder management What's in it for you? Secure a permanent with a family orientated business in North Ryde. Enjoy flexible working hours and be at the forefront of a huge Master Data Management overhaul, really exciting project. To express an interest in this exciting opportunity please send a Microsoft Word copy of your CV and a brief summary of relevant experience based on the criteria above.",Data Analyst
70000-120000,https://www.seek.com.au/job/39603856,Data Analyst,Data Analyst required for a 12 month contract based in Geelong ,Randstad - Technologies,Information & Communication Technology,Melbourne,,"Data Analyst is currently required to 31st August 2020 contract to build and provide reporting and analytical capacity and capability within the People and Culture function. You will also be required to perform the following: Apply data analysis to identify root causes underlying emerging trends and incorporate insights into a range of BAU and ad hoc evidence-based reports, action plans, papers, presentations and other material on behalf of the HR function. Provide commentary to support decision making and insight. Identify trends and to work proactively with stakeholders to explain the data. Delivering integrated workforce reporting utilising all external and internal data sources Managing and co-ordinate workforce reporting such as monthly reporting, board reporting and annual reporting. Building reporting tools to enable more efficient use of data and accessibility to FTE reporting and analysis. Undertaking quality assurance activities to ensure data accuracy and integrity within HR systems. Assuming a continuous improvement approach to HR reporting and metrics to ensure reports are constantly evolving to meet business needs. Supporting the development and implementation of the business intelligence reporting platform. Undertake relevant projects as required. To be successful in this position you will be an experienced Data Analyst who has solid experience in data analysis, data modelling and reporting. You will also be familiar with tools such as SAP, Excel, MS Power Query, Power Pivot, M Language and DAX. Excellent communication and analysis skills are a must. Send your application in today using the link or contact Leonie Woodfine on 8319 1243 or via email leonie.woodfine@randstad.com.au At Randstad, we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. We actively encourage applications from any background.",Data Analyst
70000-120000,https://www.seek.com.au/job/39578772,Data Analyst - Remediation,Seeking an experienced Data Analyst for a high profile project,2XM Technology Pty Ltd,Information & Communication Technology,Sydney,,"Data  Analyst - Remediation - Financial Services In this particular role you will be working in a project where a changing regulatory environment has driven the need for a more robust management of client data, which will in turn drive the commercial success of the business. You will work directly with the business and product teams to define the client base with the customers experience and satisfaction being at the centre of all decision making. To be considered for this role you will need: Advanced knowledge of SQL (data extraction and manipulation) Tableau Knowledge Data Remediation experience is essential A critical thinker with an eye for detail Ability to elicit requirements from a various stakeholders and to distinguish between requests and underlying needs Communication skills are key as you will deliver any findings through to various stakeholders You will be working in a team of 5 data analysts and 3 tableau developers under the project manager to help deliver the project in a 6 month time frame Due to the nature of the project we are looking for someone who has no holidays booked in the next 6 months and preferably no longer than a 2 week notice period. Full working rights is required. Please forward CV In word format only",Data Analyst
